url,varianta,format_audit,kb_audit,status_acum,format_crawler_acum,kb_crawler_acum,format_browser,kb_browser,dimensiune_px_servita,peste_200kb_in_browser
https://www.alessandrodesign.ro/cdn/shop/files/a3_530e7444-c06e-4d09-b3a9-65b2c76affb1.png?v=1743092200,original,image/png,6410,200,image/png,1693,image/webp,93,1080x1080,nu
https://www.alessandrodesign.ro/cdn/shop/files/a2_c3acf9d3-fa92-4ed8-83c4-e7e1df6080e6.png?v=1743092200,original,image/png,5765,200,image/png,5811,image/webp,312,2000x2000,DA
https://www.alessandrodesign.ro/cdn/shop/files/8d1ac828-e333-4261-8ba1-d01451ff399f.png?v=1742372166&width=1946,width=1946,image/png,4339,200,image/png,4535,image/webp,224,1800x1800,DA
https://www.alessandrodesign.ro/cdn/shop/files/a1_ebdec3e8-ccf0-43f6-9c6c-b5828fcb7ff5.png?v=1743073083,original,image/png,4286,200,image/png,4548,image/webp,45,2000x2000,nu
https://www.alessandrodesign.ro/cdn/shop/files/a4_1fd7180d-5771-4ce4-ba40-efe4b09752ec.png?v=1743073083&width=3840,width=3840,image/png,4276,200,image/png,4543,image/webp,53,2000x2000,nu
https://www.alessandrodesign.ro/cdn/shop/files/a4_1fd7180d-5771-4ce4-ba40-efe4b09752ec.png?v=1743073083,original,image/png,4276,200,image/png,4543,image/webp,53,2000x2000,nu
https://www.alessandrodesign.ro/cdn/shop/files/a2_508a9c70-cbeb-43ed-913c-c0331e0e1c4a.png?v=1743073083,original,image/png,4268,200,image/png,4581,image/webp,65,2000x2000,nu
https://www.alessandrodesign.ro/cdn/shop/files/a3_62ba8e51-a532-4e54-89f4-270eb25a3f93.png?v=1743073083,original,image/png,4267,200,image/png,4555,image/webp,44,2000x2000,nu
https://www.alessandrodesign.ro/cdn/shop/files/ff7a3ab3-5d10-4c78-80ad-47e3ce50828c.png?v=1742916003&width=1946,width=1946,image/png,3586,200,image/png,3842,image/webp,74,1946x1946,nu
https://www.alessandrodesign.ro/cdn/shop/files/a1_27e5dca8-2bea-41a0-9c0b-50dd79cf150f.png?v=1743092200,original,image/png,3496,200,image/png,3746,image/webp,94,2000x2000,nu
https://www.alessandrodesign.ro/cdn/shop/files/a1_27e5dca8-2bea-41a0-9c0b-50dd79cf150f.png?v=1743092200&width=3840,width=3840,image/png,3496,200,image/png,3746,image/webp,94,2000x2000,nu
https://www.alessandrodesign.ro/cdn/shop/files/a1_18485c35-ce77-4ebc-9361-0235266f6011.png?v=1743078773,original,image/png,3143,200,image/png,3429,image/webp,74,2000x2000,nu
https://www.alessandrodesign.ro/cdn/shop/files/a1_18485c35-ce77-4ebc-9361-0235266f6011.png?v=1743078773&width=3840,width=3840,image/png,3143,200,image/png,3429,image/webp,74,2000x2000,nu
https://www.alessandrodesign.ro/cdn/shop/files/f834bb76-81d9-4e44-a7e7-8d7201ba7259.png?v=1741609718&width=1946,width=1946,image/png,3079,200,image/png,3254,image/webp,215,1440x1440,DA
https://www.alessandrodesign.ro/cdn/shop/files/f834bb76-81d9-4e44-a7e7-8d7201ba7259.png?v=1741609718&width=1445,width=1445,image/png,3079,200,image/png,3254,image/webp,215,1440x1440,DA
https://www.alessandrodesign.ro/cdn/shop/files/a2_3af6f4f4-efae-41b4-af8d-a850434036b6.png?v=1743078773,original,image/png,2932,200,image/png,3285,image/webp,64,2000x2000,nu
