url,label_in_file,occurrences_in_file,status,first_location,final_url,final_status,page_title,canonical,product_count,available_count,blog_article_links,blocked_by_robots,in_sitemap,in_homepage_menu,issue,suggested_url
https://help.alessandrodesign.ro/,Help Center,3,200,,https://help.alessandrodesign.ro/,200,Help,,,,,False,,False,,
https://www.alessandrodesign.ro/,Pagina principală / Homepage,3,200,,https://www.alessandrodesign.ro/,200,Alessandro Design,https://www.alessandrodesign.ro/,,,,False,,False,label 'Pagina principală' vs title 'Alessandro Design' (h1 'Inspiră-ți spațiul') low match 0.00,
https://www.alessandrodesign.ro/blogs/idei-de-amenajare,Idei de amenajare,2,404,,https://www.alessandrodesign.ro/blogs/idei-de-amenajare,404,404 negăsit – Alessandro Design,,,,,False,,False,HTTP 404,https://www.alessandrodesign.ro/pages/idei-de-amenajare
https://www.alessandrodesign.ro/blogs/news,Blog,1,200,,https://www.alessandrodesign.ro/blogs/news,200,News – Alessandro Design,https://www.alessandrodesign.ro/blogs/news,,,12,False,True,True,label 'Blog' vs title 'News – Alessandro Design' (h1 'News') low match 0.00,
https://www.alessandrodesign.ro/collections/accesorii-baie,Accesorii de baie,1,200,,https://www.alessandrodesign.ro/collections/accesorii-baie,200,Accesorii baie | Detalii care fac diferenta | Alessandro Design,https://www.alessandrodesign.ro/collections/accesorii-baie,39,39,,False,True,True,,
https://www.alessandrodesign.ro/collections/all-products,Toate produsele / Catalog complet Alessandro Design,4,200,,https://www.alessandrodesign.ro/collections/all-products,200,Toate produsele – Alessandro Design,https://www.alessandrodesign.ro/collections/all-products,750,748,,False,True,False,,
https://www.alessandrodesign.ro/collections/aplice,Aplice,1,200,,https://www.alessandrodesign.ro/collections/aplice,200,Aplice LED | Iluminat estetic si eficient | Alessandro Design,https://www.alessandrodesign.ro/collections/aplice,260,145,,False,True,True,,
https://www.alessandrodesign.ro/collections/aplice-baie,Aplice de baie,1,404,,https://www.alessandrodesign.ro/collections/aplice-baie,404,404 negăsit – Alessandro Design,,,,,False,False,False,HTTP 404,https://www.alessandrodesign.ro/collections/aplice-de-baie
https://www.alessandrodesign.ro/collections/aplice-exterior,Aplice de exterior,2,404,,https://www.alessandrodesign.ro/collections/aplice-exterior,404,404 negăsit – Alessandro Design,,,,,False,False,False,HTTP 404,https://www.alessandrodesign.ro/collections/aplice-de-exterior
https://www.alessandrodesign.ro/collections/aplice-interior,Aplice de interior,1,404,,https://www.alessandrodesign.ro/collections/aplice-interior,404,404 negăsit – Alessandro Design,,,,,False,False,False,HTTP 404,https://www.alessandrodesign.ro/collections/aplice-de-interior
