line	h2	anchor	dwf_path	status	location	live_nav_replacement	visible_products_of_replacement
7	Despre Alessandro Design	Pagina principală	/	200			
8	Despre Alessandro Design	Despre companie	/pages/companie	200			
9	Despre Alessandro Design	Contact	/pages/contact	200			
10	Despre Alessandro Design	Toate produsele	/collections/all-products	200			250
11	Despre Alessandro Design	Help Center	https://help.alessandrodesign.ro/	help-200			
17	Categorii principale	Corpuri de iluminat	/collections/corpuri-de-iluminat	200			250
18	Categorii principale	Oglinzi LED	/collections/oglinzi-led	200			250
19	Categorii principale	Baie	/collections/baie	200			157
20	Categorii principale	Plante artificiale	/collections/plante-artificiale	200			181
21	Categorii principale	Decorațiuni perete	/collections/decoratiuni-perete	200			21
22	Categorii principale	Produse LED	/collections/produse-led	200			46
23	Categorii principale	Iluminat exterior	/collections/iluminat-exterior	404		/collections/iluminat-de-exterior	105
24	Categorii principale	Toate produsele	/collections/all-products	200			250
30	Oglinzi LED	Oglinzi LED	/collections/oglinzi-led	200			250
31	Oglinzi LED	Oglinzi LED multifuncționale	/collections/oglinzi-led-multifunctionale	301	/collections/oglinzi-baie-cu-led-si-dezaburire	/collections/oglinzi-baie-cu-led-si-dezaburire	155
32	Oglinzi LED	Oglinzi LED standard	/collections/oglinzi-led-standard	404		/collections/oglinzi-led-simple	15
33	Oglinzi LED	Oglinzi LED pentru dressing	/collections/oglinzi-led-dressing	200			8
34	Oglinzi LED	Oglinzi LED cu dulap	/collections/oglinzi-led-cu-dulap	200			13
35	Oglinzi LED	Oglinzi LED pentru machiaj	/collections/oglinzi-led-machiaj	200			37
36	Oglinzi LED	Oglinzi rotunde pentru baie	/collections/oglinzi-rotunde-baie	200			71
37	Oglinzi LED	Oglinzi LED by Marcello Funghi	/collections/oglinzi-led-by-marcello-funghi	200			131
47	Corpuri de iluminat > Lustre	Lustre	/collections/lustre	301	/collections/candelabre	/collections/lustre-cu-bec	250
48	Corpuri de iluminat > Lustre	Lustre LED	/collections/lustre-led	200			250
49	Corpuri de iluminat > Lustre	Lustre moderne	/collections/lustre-moderne	200			126
50	Corpuri de iluminat > Lustre	Lustre vintage	/collections/lustre-vintage	200			92
51	Corpuri de iluminat > Lustre	Lustre industriale	/collections/lustre-industriale	404		/collections/lustre-metalice	250
52	Corpuri de iluminat > Lustre	Lustre pentru camera copiilor	/collections/lustre-camera-copii	404		/collections/lustre-camera-copiilor	47
56	Corpuri de iluminat > Plafoniere	Plafoniere LED	/collections/plafoniere-led	301	/collections/plafoniere-led-1	/collections/plafoniere-led-1	82
60	Corpuri de iluminat > Candelabre	Candelabre	/collections/candelabre	200			250
61	Corpuri de iluminat > Candelabre	Candelabre din cristal	/collections/candelabre-cristal	200			250
62	Corpuri de iluminat > Candelabre	Candelabre moderne	/collections/candelabre-moderne	200			62
63	Corpuri de iluminat > Candelabre	Candelabre clasice	/collections/candelabre-clasice	200			30
67	Corpuri de iluminat > Aplice	Aplice	/collections/aplice	200			250
68	Corpuri de iluminat > Aplice	Aplice de interior	/collections/aplice-interior	404		/collections/aplice-de-interior	139
69	Corpuri de iluminat > Aplice	Aplice de baie	/collections/aplice-baie	404		/collections/aplice-de-baie	6
70	Corpuri de iluminat > Aplice	Aplice de exterior	/collections/aplice-exterior	404		/collections/aplice-de-exterior	110
74	Corpuri de iluminat > Veioze și lampadare	Veioze și lampadare	/collections/veioze-lampadare	200			53
75	Corpuri de iluminat > Veioze și lampadare	Veioze pentru dormitor	/collections/veioze-dormitor	200			21
76	Corpuri de iluminat > Veioze și lampadare	Lampadare pentru living	/collections/lampadare-living	200			18
80	Corpuri de iluminat > Spoturi	Spoturi	/collections/spoturi	200			24
81	Corpuri de iluminat > Spoturi	Proiectoare pe șină magnetică	/collections/proiectoare-sina-magnetica	200			16
85	Produse LED	Produse LED	/collections/produse-led	200			46
86	Produse LED	Becuri	/collections/becuri	200			26
87	Produse LED	Benzi LED	/collections/benzi-led	200			12
88	Produse LED	Plafoniere LED	/collections/plafoniere-led	301	/collections/plafoniere-led-1	/collections/plafoniere-led-1	82
89	Produse LED	Lustre LED	/collections/lustre-led	200			250
97	Iluminat exterior	Iluminat exterior	/collections/iluminat-exterior	404		/collections/iluminat-de-exterior	105
98	Iluminat exterior	Proiectoare de exterior	/collections/proiectoare-exterior	404		/collections/proiectoare-de-exterior	10
99	Iluminat exterior	Instalații de exterior	/collections/instalatii-exterior	404		/collections/instalatii	3
100	Iluminat exterior	Aplice de exterior	/collections/aplice-exterior	404		/collections/aplice-de-exterior	110
106	Produse pentru baie	Baie	/collections/baie	200			157
107	Produse pentru baie	Mobilier de baie	/collections/mobilier-baie	200			68
108	Produse pentru baie	Baterii de baie	/collections/baterii-baie	404		/collections/baterii-de-baie	28
109	Produse pentru baie	Baterii de baie și bucătărie	/collections/baterii-baie-bucatarie	200			98
110	Produse pentru baie	Baterii de bucătărie	/collections/baterii-bucatarie	404		/collections/baterii-de-bucatarie	41
111	Produse pentru baie	Coloane și baterii de duș	/collections/coloane-baterii-dus	404		/collections/baterii-coloane-de-dus	62
112	Produse pentru baie	Chiuvete	/collections/chiuvete	301	/collections/chiuvete-lavoare	/collections/chiuvete-lavoare	17
113	Produse pentru baie	Căzi de baie freestanding	/collections/cazi-baie-freestanding	404		/collections/cazi-de-baie-freestanding	12
114	Produse pentru baie	Cădițe de duș	/collections/cadite-dus	404		/collections/cadite-de-dus	8
115	Produse pentru baie	Paravane de duș walk-in	/collections/paravane-dus-walk-in	404		/collections/dus-walk-in	36
116	Produse pentru baie	Accesorii de baie	/collections/accesorii-baie	200			39
117	Produse pentru baie	Pară de duș	/collections/para-dus	404		/collections/para-de-dus	1
118	Produse pentru baie	Covoare de baie	/collections/covoare-baie	200			8
119	Produse pentru baie	Uscătoare de mâini	/collections/uscatoare-maini	404		/collections/uscatoare-de-maini	10
120	Produse pentru baie	Calorifere electrice	/collections/calorifer-electric	404		/collections/calorifel-electric	6
121	Produse pentru baie	Sifoane de pardoseală	/collections/sifon-pardoseala	200			1
127	Plante artificiale	Plante artificiale	/collections/plante-artificiale	200			181
128	Plante artificiale	Copaci artificiali	/collections/copaci-artificiali	404		/collections/copac-artificial	32
129	Plante artificiale	Panouri artificiale	/collections/panouri-artificiale	404		/collections/panou-artificial	13
130	Plante artificiale	Tufe artificiale	/collections/tufe-artificiale	404		/collections/tufa-artificiala	10
131	Plante artificiale	Ghirlande artificiale	/collections/ghirlande-artificiale	200			3
132	Plante artificiale	Brazi de Crăciun	/collections/brazi-craciun	404		/collections/brad-de-craciun	29
133	Plante artificiale	Gazon artificial	/collections/gazon-artificial	200			2
134	Plante artificiale	Ierburi ornamentale artificiale	/collections/ierburi-ornamentale-artificiale	200			29
138	Decorațiuni	Decorațiuni pentru perete	/collections/decoratiuni-perete	200			21
139	Decorațiuni	Tablouri din sticlă	/collections/tablouri-sticla	404		/collections/tablou-sticla	7
140	Decorațiuni	Tablouri LED	/collections/tablouri-led	404		/collections/tablou-led	14
146	Conținut și inspirație	Idei de amenajare	/blogs/idei-de-amenajare	404		/pages/idei-de-amenajare	
147	Conținut și inspirație	Blog	/blogs/news	200			
148	Conținut și inspirație	Pozele clienților	/pages/pozele-clientilor	200			
209	Achiziții și servicii business	Achiziții publice SEAP	/pages/achizitii-publice-seap	200			
210	Achiziții și servicii business	Dropshipping	/pages/dropshipping	404		/pages/dropshipment	
211	Achiziții și servicii business	Comenzi en-gros	/pages/comenzi-en-gross	404		/pages/comenzi-engross	
212	Achiziții și servicii business	Colaborări de marketing	/pages/colaborari-marketing	200			
213	Achiziții și servicii business	Parteneriate	/pages/colaborari	404		(remove: no page; /pages/colaborari-marketing already on L212)	
223	Suport clienți	Help Center	https://help.alessandrodesign.ro/	help-200			
224	Suport clienți	Contact	/pages/contact	200			
225	Suport clienți	Termeni și condiții	/policies/terms-of-service	200			
226	Suport clienți	Politica de confidențialitate	/policies/privacy-policy	200			
227	Suport clienți	Politica de cookies	/policies/cookie-policy	404		(remove: footer "Politica de utilizare cookie-uri" points to /policies/privacy-policy, L226)	
228	Suport clienți	Politica de livrare	/policies/shipping-policy	200			
243	Catalog	Catalog complet Alessandro Design	/collections/all-products	200			250
249	Pagini importante	Homepage	/	200			
250	Pagini importante	Toate produsele	/collections/all-products	200			250
251	Pagini importante	Oglinzi LED	/collections/oglinzi-led	200			250
252	Pagini importante	Corpuri de iluminat	/collections/corpuri-de-iluminat	200			250
253	Pagini importante	Baie	/collections/baie	200			157
254	Pagini importante	Plante artificiale	/collections/plante-artificiale	200			181
255	Pagini importante	Decorațiuni perete	/collections/decoratiuni-perete	200			21
256	Pagini importante	Idei de amenajare	/blogs/idei-de-amenajare	404		/pages/idei-de-amenajare	
257	Pagini importante	Despre companie	/pages/companie	200			
258	Pagini importante	Contact	/pages/contact	200			
259	Pagini importante	Help Center	https://help.alessandrodesign.ro/	help-200			
