handle,title,in_menu,template,rule_stock_gt_0,total,in_stock,sold_out,pct_sold_out,sold_out_on_page1,sold_out_all_at_end,url
tablou-led,Tablou LED,1,default,0,14,0,14,100,14,1,https://www.alessandrodesign.ro/collections/tablou-led
tablou-sticla,Tablou decorativ,1,default,0,7,0,7,100,7,1,https://www.alessandrodesign.ro/collections/tablou-sticla
sifon-pardoseala,Sifon Pardoseala,1,default,0,1,0,1,100,1,1,https://www.alessandrodesign.ro/collections/sifon-pardoseala
chiuvete-lavoare,Chiuvete & Lavoare,1,default,0,17,4,13,76,13,1,https://www.alessandrodesign.ro/collections/chiuvete-lavoare
instalatii,Instalatii Exterior,1,default,0,3,1,2,67,2,1,https://www.alessandrodesign.ro/collections/instalatii
lampadare-living,Lampadare Living,1,default,0,18,7,11,61,11,1,https://www.alessandrodesign.ro/collections/lampadare-living
baterii-coloane-de-dus,Baterii & Coloane de Dus,1,default,0,62,25,37,60,11,1,https://www.alessandrodesign.ro/collections/baterii-coloane-de-dus
lustre-moderne,Lustre Moderne,1,default,0,126,57,69,55,0,1,https://www.alessandrodesign.ro/collections/lustre-moderne
aplice-de-exterior,Aplice de Exterior,1,default,0,110,52,58,53,0,1,https://www.alessandrodesign.ro/collections/aplice-de-exterior
lustre-led,Lustre LED,1,default,0,685,344,341,50,0,0,https://www.alessandrodesign.ro/collections/lustre-led
candelabre-moderne,Candelabre Moderne,1,default,0,62,31,31,50,5,1,https://www.alessandrodesign.ro/collections/candelabre-moderne
cadite-de-dus,Cadite de Dus,1,default,0,8,4,4,50,4,1,https://www.alessandrodesign.ro/collections/cadite-de-dus
aplice-de-baie,Aplice de Baie,1,default,0,6,3,3,50,3,1,https://www.alessandrodesign.ro/collections/aplice-de-baie
lustre-camera-copiilor,Lustre Camera Copiilor,1,default,0,47,24,23,49,12,1,https://www.alessandrodesign.ro/collections/lustre-camera-copiilor
lustre-metalice,Lustre Industrial,1,default,0,715,369,346,48,0,0,https://www.alessandrodesign.ro/collections/lustre-metalice
lustre-vintage,Lustre Vintage,1,default,0,92,50,42,46,0,1,https://www.alessandrodesign.ro/collections/lustre-vintage
candelabre-clasice,Candelabre Clasice,1,default,0,30,17,13,43,13,1,https://www.alessandrodesign.ro/collections/candelabre-clasice
aplice-de-interior,Aplice de Interior,1,default,0,139,86,53,38,0,1,https://www.alessandrodesign.ro/collections/aplice-de-interior
oglinzi-led-dressing,Oglinzi LED Dressing,1,default,0,8,5,3,38,3,1,https://www.alessandrodesign.ro/collections/oglinzi-led-dressing
plafoniere-led-1,Plafoniere LED,1,default,0,82,52,30,37,0,1,https://www.alessandrodesign.ro/collections/plafoniere-led-1
candelabre-cristal,Candelabre Cristal,1,default,0,443,287,156,35,0,0,https://www.alessandrodesign.ro/collections/candelabre-cristal
benzi-led,Benzi LED,1,default,0,12,8,4,33,4,1,https://www.alessandrodesign.ro/collections/benzi-led
oglinzi-led-by-marcello-funghi,Oglinzi LED - by Marcello Funghi,1,default,0,131,90,41,31,0,1,https://www.alessandrodesign.ro/collections/oglinzi-led-by-marcello-funghi
brad-de-craciun,Brad de craciun,1,default,0,29,20,9,31,9,1,https://www.alessandrodesign.ro/collections/brad-de-craciun
